,processo,classe,assunto,magistrado,comarca,foro,vara,disponibilizacao
0,00059846820198260011,Procedimento do Juizado Especial Cível,Indenização por Dano Material,Domicio Whately Pacheco e Silva,SÃO PAULO,Foro Central Juizados Especiais Cíveis,1ª Vara do Juizado Especial Cível - Vergueiro,2019-10-22
1,00023015620178260540,Ação Penal de Competência do Júri,Homicídio Qualificado,Pedro Corrêa Liao,São Caetano do Sul,Foro de São Caetano do Sul,2ª Vara Criminal e de Crimes contra a Vida,2019-10-17
2,00030759020158260238,Ação Penal - Procedimento Ordinário,Crimes do Sistema Nacional de Armas,AUGUSTO BRUNO MANDELLI,Ibiúna,Foro de Ibiúna,1ª Vara,2019-10-03
3,00136256220128260073,Ação Penal - Procedimento Ordinário,Crimes Praticados por Funcionários Públicos Contra a Administração em Geral,Roberta de Oliveira Ferreira Lima,Avaré,Foro de Avaré,1ª Vara Criminal,2019-09-30
4,10048601620178260201,Procedimento Comum Cível,"Defeito, nulidade ou anulação",GUILHERME FACCHINI BOCCHI AZEVEDO,Garça,Foro de Garça,3ª Vara,2019-09-30
5,10593983020158260002,Procedimento Comum Cível,Indenização por Dano Moral,LUIZ FERNANDO RODRIGUES GUERRA,SÃO PAULO,Foro Central Cível,38ª Vara Cível,2019-09-16
6,00005424520188260274,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-09-03
7,15005748420188260238,Ação Penal - Procedimento Ordinário,Roubo,AUGUSTO BRUNO MANDELLI,Ibiúna,Foro de Ibiúna,1ª Vara,2019-08-29
8,00007335820168260081,Ação Penal - Procedimento Ordinário,Estelionato,FABIO ALEXANDRE MARINELLI SOLA,Adamantina,Foro de Adamantina,1ª Vara,2019-08-16
9,15008154720188260274,Ação Penal - Procedimento Ordinário,Roubo,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-08-14
10,00023095520178260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-08-14
11,00020379520168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-08-13
12,10001325920188260309,Procedimento do Juizado Especial Cível,Indenização por Dano Moral,Renata Vaitkevicius Santo André Vitagliano,Jundiaí / SP,Foro de Jundiaí,Vara do Juizado Especial Cível,2019-08-12
13,00044790520148260274,Ação Penal - Procedimento Ordinário,Estelionato,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-08-08
14,00009149620158260274,Ação Penal de Competência do Júri,Homicídio Simples,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-08-08
15,00191483820168260001,Ação Penal - Procedimento Sumaríssimo,Ameaça,Cristina Alves Biagi Fabri,SÃO PAULO,Foro Regional I - Santana,2ª Vara Criminal,2019-08-07
16,00013395520178260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-08-06
17,00010439120168260266,Ação Penal de Competência do Júri,Homicídio Simples,Paulo Alexandre Rodrigues Coutinho,Itanhaém,Foro de Itanhaém,1ª Vara,2019-08-01
18,15008362320188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-07-30
19,00011303420168260238,Ação Penal de Competência do Júri,Roubo,AUGUSTO BRUNO MANDELLI,Ibiúna,Foro de Ibiúna,1ª Vara,2019-07-30
20,00011556520188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-07-30
21,00007668020188260274,Ação Penal - Procedimento Ordinário,Uso de documento falso,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-07-30
22,00054106420198260037,Procedimento do Juizado Especial Cível,Indenização por Dano Moral,ANA CLAUDIA HABICE KOCK,Araraquara,Foro de Araraquara,Vara do Juizado Especial Cível,2019-07-23
23,00024429720178260274,Ação Penal de Competência do Júri,Homicídio Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-07-18
24,00539700320168260050,Ação Penal - Procedimento Ordinário,Roubo,Ana Lucia Fernandes Queiroga,SÃO PAULO,Foro Central Criminal Barra Funda,16ª Vara Criminal,2019-07-10
25,00016654920168260274,Ação Penal - Procedimento Ordinário,Leve,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-06-28
26,10003958120198260010,Procedimento do Juizado Especial Cível,Indenização por Dano Moral,Carla Zoéga Andreatta Coelho,SÃO PAULO,Foro Regional X - Ipiranga,1ª Vara do Juizado Especial Cível,2019-06-19
27,00021712520168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-06-19
28,10112911520168260003,Procedimento Comum Cível,Direito de Vizinhança,Gustavo Santini Teodoro,SÃO PAULO,Foro Regional III - Jabaquara,5ª Vara Cível,2019-06-17
